Scientific Name|Common Name|Type|Zone|When it Blooms|Where to Grow|Soil Type|When to Divide|Habit|Scent|Attracts|Resists|Maturity Rate|Long Lived or Short Lived|Something Special or Unique|Images|Year(s) Sold
Anaphalis triplinervis|Pearly Everlasting|Perennial|3-9|July-August|Full sun, partial shade|Well draining, moist, but not soggy|Spring (May)|Height: 6” (10” with flower stalk), Spread: 6”-10”, Clumping|None|Painted Lady Butterflies|Deer and rabbits||Long Lived: Does not tolerate soggy soil in winter|Good cut and dried flower, nice gray soft foliage, host for Painted Lady Butterflies||2018
Anethum graveolens 'Fernleaf'|Dill|Annual (but self-seeds) herb|3-7 for seeds||Prefers full sun, tolerates partial shade|Better flavor when grown in heavier soil, does best in well draining soil|Do not divide|Height: 24” (36” with flower stalk), Spread: 12”-24”, Clumping, occasionally reseeds|Fragrant|Eastern Swallowtail Butterflies|Deer and rabbits|||Host plant for Eastern Swallowtail Butterflies, edible, grown organically, slow to bolt in summer heat||2018
Anethum graveolens 'Long Island Mammoth'|Dill|Annual (but self-seeds) herb|3-7 for seeds||Prefers full sun, tolerates partial shade|Better flavor when grown in heavier soil, does best in well draining soil|Do not divide|Height: 24” (36” with flower stalk), Spread: 12”-24”, Clumping, occasionally reseeds|Fragrant|Eastern Swallowtail Butterflies|Deer and rabbits|||Host plant for Eastern Swallowtail Butterflies, edible, grown organically, slow to bolt in summer heat||2020
Aquilegia caerulea 'Barlo Blue Mixed Hybrids'|Columbine|Perennial|3-8|June-July|Does best in partial shade|Well draining, moist|Do not divide, long tap root, but can collect seeds and refrigerate to vernalize and grow the following year.  It does well in the area and may self-seed|Height: 6” (24” with flower stalk), Spread: 6-12”, Clumping, occasionally reseeds|None|Butterflies, Hummingbirds||Flowers second year|Typically lives 3-5 years, might reseed|Good cut flower||2024
Aquilegia caerulea 'Benary's Mix'|Columbine|Perennial|3-8|June-July|Does best in partial shade|Well draining, moist|Do not divide, long tap root, but can collect seeds and refrigerate to vernalize and grow the following year|Height: 6” (24” with flower stalk), Spread: 6-12”, Clumping, occasionally reseeds|None|Butterflies, Hummingbirds||Flowers second year|Typically lives 3-5 years, might reseed|Good cut flower||2018
Aquilegia caerulea 'McKana Giants'|Columbine|Perennial|3-8|June-July|Does best in partial shade|Well-draining, moist|Do not divide, long tap root, but can collect seeds and refrigerate to vernalize and grow the following year|Height: 6” (24” with flower stalk), Spread: 6-12”, Clumping, occasionally reseeds|None|Butterflies, hummingbirds||Flowers second year|Typically lives 3-5 years, might reseed|Good cut flower||2019
Aquilegia caerulea-Hybrid 'Blue Star'|Columbine|Perennial|3-8|June-July|Does best in partial shade|Well-draining, moist|Do not divide, long tap root, but can collect seeds and refrigerate to vernalize and grow the following year|Height: 6” (24” with flower stalk), Spread: 6-12”, Clumping, occasionally reseeds|None|Butterflies, bumble bees, hummingbirds||Flowers second year|Typically lives 3-5 years, might reseed|Good cut flower|Aquilegia caerulea-Hybrid 'Blue Star':Aquilegia caerulea-Hybrid 'Blue Star' Seedling|2021
Aquilegia canadensis|Columbine|Perennial|3-8|April-May|Does best in partial shade|Well-draining, moist|Do not divide, long tap root, but can collect seeds and refrigerate to vernalize and grow the following year|Height: 8”-12", Spread: 8"-12”, Clumping, occasionally reseeds|None|Butterflies, bumble bees, hummingbirds||Flowers second year|Typically lives 3-5 years, might reseed|Good cut flower, native and unhybridized.||2022, 2024
Armeria maritima 'Laucheana'|Sea Thrift|Perennial|4-8|May-June|Full sun|Well draining, dry soil, drought resistant|Does not divide|Height: 4” (6” with flower stalk), Spread: 4-6”, Clumping and spreads very slowly|None|Butterflies|Deer and rabbits|Flowers first year|Long lived|2-3 foot tap root, be careful not to accidentally pull out thinking it's a clump of grass||2018
Armeria maritima 'Splendens'|Sea Thrift|Perennial|4-8|May-June|Full sun|Well draining, dry soil, drought resistant|Does not divide|Height: 4” (6” with flower stalk), Spread: 4-6”, Clumping and spreads very slowly|None|Butterflies|Deer and rabbits|Flowers first year|Long lived|2-3 foot tap root, be careful not to accidentally pull out thinking it's a clump of grass|Armeria maritima 'Splendens':Armeria maritima 'Splendens' Seedling|2021
Asclepias incarnata|Swamp Milkweed|Perennial|3-6|July-August|Full sun|Medium to wet soils, but tolerant of average, well-drained soils.  Grow best in swamps and wet meadows.|Resents division (establishes deep taproots)|Height:  24-36” Spread:  24-36” Clumping and spreading by rhizome once established|Strong sweet smell|Bees, Butterflies, Hummingbirds||Reaches full height second year. Blooms first year|5 years; can collect seeds in the fall, put in the refrigerator in a plastic baggy until spring. Soak in warm water overnight, changing water every 6-8 hours, and direct sow.  The plants with direct sowing will be much stronger.|Do not disturb roots.  The name Asclepias is in honor of the Greek god Asklepios, the God of Medicine.  Native plant||2024
Asclepias tuberosa|Butterfly Weed|Perennial|3-8|Late June-August|Full sun|Gritty and rocky, well draining|Resents division|Height:  24” Spread:  12” Clumping and spreading by rhizome once established|Strong sweet smell|Bees, Butterflies, Hummingbirds||Reaches full height second year. Blooms first year|5 years; can collect seeds in the fall, put in the refrigerator in a plastic baggy until spring. Soak in warm water overnight, changing water every 6-8 hours, and direct sow.  The plants with direct sowing will be much stronger.|Do not disturb roots.||2019
Aster novae-angliae|New England Aster|Perennial|4-8|August-September|Full sun|Average, medium, well-drained soils; though it prefers moist, rich soils.|Prefers to have seed collected and sowed in spring|Height: 36-60” with flower stalk (some may grow taller), Spread: 24-36”, Upright|Mint and oregano|Bees, Butterflies|Deer and rabbits|Flowers second year|Long lived|Native plant, good cut flower.  Pinch back 1/3 to increase the number of blooms and remove the need for staking.||2024
Astilbe chinensis 'Rheinland, Purple Lance'|Chinese Astilbe|Perennial|4-8|May-June|Full shade, partial shade|Well-draining, moist|Early spring (April) when overcrowded; (every 3-4 years)|Height:  12-18” (24” with flower stalk) Spread:  18”-24” Clumping, occasionally reseeds.|None|Bees|Deer and rabbits|Flowers first year|Long lived|May remove spent blooms for neatness, tolerates black walnut trees|Astilbe chinensis 'Rheinland':Astilbe chinensis 'Purple Lance'|2019
Astilbe chinensis 'Federsee'|Chinese Astilbe|Perennial|4-8|May-June|Full shade, partial shade|Well-draining, moist|Early spring (April) when overcrowded; (every 3-4 years)|Height:  12-18” (24” with flower stalk) Spread:  18”-24” Clumping, occasionally reseeds.|None|Bees|Deer and rabbits|Flowers first year|Long lived|May remove spent blooms for neatness, tolerates black walnut trees||2020
Astrantia major-Hybrid 'Rose Symphony'|Masterwort|Perennial|3-9|July-September|Partial shade, full shade, or dappled sunlight under trees.|Does not like dry conditions.  Prevent overhead watering to prevent powdery mildew.  Rich in organic material, moist.  Water frequently during drought and fertilize yearly for best growth.|Divide once every few years.|Height:  18" Spread:  12" Clumping habit|None|Butterflies|Deer and rabbits|Flowers first year||Native to prairies, good cut and dried flower, prized for floral arrangements.  Good for filling voids between shrubs and trees, it will naturalize under trees.  Combines well with ferns and astilbe.|Astrantia major-Hybrid 'Rose Symphony':Astrantia major-Hybrid 'Rose Symphony' Seedling|2021, 2022
Bergenia cordifolia|Winterglow and New Hybrids|Perennial|3-8|Late May-Early June|Part sun to part shade|Rich, moist, well draining|Rosettes can be cut off parent in spring|Height: 24” with flower stalk, Plant: 8” tall, Spread: 8”, Mound|Sweet Fragrance|Butterflies|Loved by rabbits and deer|Flowers second or third year|Long lived, evergreen|Spectacular shades of purple, to red orange colors in the fall with cold temperatures; one of the first flowers to bloom in spring|Bergenia cordifolia 'Winterglow':Bergenia cordifolia 'New Hybrids'|2018
Boehmeria cylindrica|False Nettle|Perennial|4-10|August-September|Full sun to partial shade, light shade preferred|Sandy or loamy, well-drained but moist|Do not divide|Height:  18"-36", Spread:  4"-6", Erect, multi-stemmed|None|Butterflies, bees, small mammals|Deer and rabbits|May bloom first year, reaches mature size in 2-3 years|Long lived|Native.  It doesn’t have stinging hairs like nettle.  Flowers are dioecious (either male or female).  Host plant for the Eastern Comma, Question Mark, and Red Admiral butterflies.||2023
Boltonia asteroides var. latisquama 'Nana'|False Aster|Perennial|4-9|August-September|Full sun|Clay, wet|Divide in spring|Height: 24” with flower stalk (some may grow taller), Plant: 24” tall, Spread: 12”, Mound|Mint and oregano|Bees, Butterflies|Deer and rabbits|Flowers first year|Long lived, evergreen|Native plant, good cut flower with very slow creeping rhizomes.  Pinch back 1/3 to increase the number of blooms.||2020, 2022
Borago officinalis|Borage|Annual (reseeds or collect seeds to use next year) herb||June-August|Full sun to partial shade|Well draining, moist|Do not divide, long tap root. Soak the peat pot until the pot is mushy and bury the plant to the top of the peat pot and water. May flop in sun on first day but will recover the next day|Height: 6” (24” with flower stalk), Spread: 6-12”, Clumping, occasionally reseeds|Sweet|Butterflies, hummingbirds, and bees|Deer and rabbits|Flowers second year. Typically live 3-5 years, might reseed|Long Lived|Host for Painted Lady Butterfly.  Leaves can be used fresh for tea giving the water a cucumber flavor-add lemon and chill for a replenishing summer drink. Companion plant for the vegetable garden--attracts bees and other beneficial insects. Flowers are sugary sweet and full of nectar especially in the morning.||2018, 2020
Buddleja davidii mixed hybrids 2nd year plant|Butterfly Bush|Perennial|5-8 (mulch, protect in winter)|July-August|Full sun, partial sun|Well-draining, moist; drought resistant after first year|Do not divide|Height: 24” first year, then 3-6 feet, Spread: 12” first year, then 3-4 feet. Shrub that dies back during winter|Very sweet|Butterflies, hummingbird moths, bees||Flowers first year.  Takes 2-3 years to reach max height|When mulched, 5-10 years|Monarch Magnet!  Highly nectar producing.  Non-invasive variety.  In the North, helps monarchs with migration--blooms after eggs are set|Buddleja davidii:Buddleja davidii Seedling|2019, 2021
Buddleja davidii mixed hybrids 1st year plant|Butterfly Bush|Perennial|5-8 (mulch, protect in winter)|July-August|Full sun, partial sun|Well-draining, moist; drought resistant after first year|Do not divide|Height: 24” first year, then 3-6 feet, Spread: 12” first year, then 3-4 feet. Shrub that dies back during winter|Very sweet|Butterflies, hummingbird moths, bees||Flowers first year.  Takes 2-3 years to reach max height|When mulched, 5-10 years|Monarch Magnet!  Highly nectar producing.  Non-invasive variety.  In the North, helps monarchs with migration--blooms after eggs are set|Buddleja davidii|2018, 2020
Campanula glomerata 'Superba'|Clustered Bellflower|Perennial|3-8|May-July|Full sun to part shade|Average, medium moisture, well-drained soils.|Divide every 3-4 years|Height: 12"-18" with flower stalk Spread: 6"-12" Rosette forming|None|Bees, Butterflies|Deer and rabbits|Flowers first year|Long lived|Bees love to dig their  faces into the clusters of cupped flowers on this Campanula.||2022
Campanula persicifolia 'Telham Beauty'|Willow Bell|Perennial|3-7|May-June|Full sun to part shade|Average, medium moisture, well-drained soils.|Divide every 3-4 years|Height: 18"-24" with flower stalk Spread: 18"-24" Rosette forming|None|Bees, Butterflies|Deer and rabbits|Flowers first year|Long lived|Bees love to dig their  faces into the cups of this Campanula.|Campanula persicifolia 'Telham Beauty':Campanula persicifolia 'Telham Beauty' Seedling|2021, 2023
Campanula trachelium 'Flore Pleno Mix'|Throatwort|Perennial|3-9|July-September|Light shade to part shade or dappled shade|Average, calcareous soils; will tolerate full sun if given sufficient moisture.|Divide every 3-4 years|Height: 24"-36" with flower stalk, Spread: 12"-18", Rosette forming|None|Bees|Deer and rabbits|Flowers first year|Long lived|Bees love to dig their  faces into the cups of this Campanula.  The flowers are also semi-double.||
Centranthus ruber var. coccineus 'Rosenrot'|Jupiter's Beard|Perennial|5-8|June-August|Full sun to partial sun|Any soil, prefers slightly alkaline; drought resistant|Remove volunteers in early spring|Height: 18”, Spread: 18”, Clumping, Spreads by reseeding|Sweet|Butterflies, bees and hummingbirds||Blooms first year|5-7 years, reseeds on open ground|Nectar producing even during drought, mulch around plants to prevent volunteers|Centranthus ruber var. coccineus 'Rosenrot':Centranthus ruber var. coccineus 'Rosenrot' Seedling|2018, 2019, 2020, 2021, 2022
Chelone lyonii 'Pink Temptation'|Turtlehead|Perennial|3-8|July-September|Part Shade to Full Sun|Average soil, likes clay|In early spring when shoots are 1” high|Height: 24”, Spread: 18”, Clumping|None|Butterflies||Slow, blooms first year|Long lived|Very difficult to grow from seed.  Small first year, spends most of its energy setting roots the first year, but will return strong next year, doubling in size, reaching full size in three years||2018, 2019
Coriandrum sativum|Cilantro|Annual herb||Seasonal bloomer|Full sun, partial shade|Average, well-drained, medium moisture|Do not divide|Height: 18"-24", Spread: 12”-15"|Cilantro-like|Butterflies, bees, wasps|Resists rabbits and deer|Flowers first year|Annual|Host plant for Swallowtail butterflies.  Stems and leaves are edible, and can be used in salads, salsas, meats, sauces and soups. Leaves can be chopped and stored frozen in ice cube trays for later use.  The seeds can be used in anything from sausages and chutneys to pies and cakes.||2022
Dalea purpureum|Purple Prairie Clover|Perennial|3-8|June-August|Full sun|Average, medium, well-drained soils, tolerates clay.  Adaptable to a wide variety of soils, as long as it is well-drained.|Do not divide, long tap root, but may self-seed in optimum growing conditions.|Height:  12"-36" with flower stalk, Spread:  12"-18, bushy, vase-shaped habit.|None|Bees, butterflies|Deer and rabbits|Blooms first year|Long lived|It is a high nectar producer, and grows in a range of soils.  Native Americans applied it to open wounds, and wildlife loves the proteinaceous seeds.  This legume (or pea-family plant) fixes nitrogen in the soil.  It is drought resistant and native to North America.  Dalea is a superfood for the Rusty-Patched Bumblebee, which is listed as endangered.  It is also a host plant for the larvae of the Dogface Sulphur (common in New York) and Reakirt's Blue.  This plant blooms heavily for four weeks in June and continues to bloom sporadically until September.  It needs support in its first year because it uses most of its energy developing a long taproot (a mature plant's taproot will be 5.5-6 feet) which will later allow it to become drought resistant.  Leaves can be used for tea, and roots are palatable.||
Dodecatheon meadia 'Deluxe Mix'|Shooting Stars|Perennial|4-8|Mid May-Late May|Part Shade|Evenly moist, humusy, well-drained.  Avoid poorly-drained or wet soils, especially in winter.|Divide in fall when dormant.|Height:  8"-18" with flower stalk, Spread:  8"-12", Basal rosette.|None|Butterflies, hummingbirds, bees|Deer and rabbits|Blooms second or third year|Long lived once established|Native to the Eastern US, likes rocky slopes and bluff edges.||
Doronicum orientale 'Magnificum'|Leopard's Bane|Perennial|4-7|April-May|Part shade|Medium water, humusy, moisture retentive, dislikes excessive wetness|After first leaves sprout in early spring or after flowering|Height: 6"-18" with flower stalk, Spread: 6"-12", Will spread slowly with underground rhizomes|Lightly scented|Butterflies|Deer and rabbits|Blooms second or third year|Long lived|This adorable marsh plant has bright yellow flowers.  It is one of the few daisy-like composite flowers that blooms in early spring.||2022, 2024
Dracocephalum ruyschiana 'Blue Moon'|Northern Dragonhead|Perennial|2-8|June-August|Full sun to part shade|Average to fertile, well-drained, loamy soil; avoid clay|Do not divide, can take tip cuttings or propagate from seed|Height: 6”-12", Spread: 12"-18”, Sprawling|Fragrant|Bees, other pollinators|Deer and rabbits|Flowers second year|Long lived|Its common name refers to the dragon head flower shape.  This variety is a shorter type of Dracocephalum.  Can be grown in a container.  For the rock garden.||2023
Echinacea purpurea 'Magnus Superior'|Purple Coneflower|Perennial|3-8|Late June-August|Partial shade to full sun|Any soil, drought resistant|Early spring when leaves are about 4” high|Height: 12” (24-36” with flower), Spread: 12”, Clumping|Sweet|Butterflies||Small first year, full size second year|Long lived|Monarchs love these; spent flower stalks create winter interest|Echinacea purpurea 'Magnus Superior':Echinacea purpurea 'Magnus Superior' Seedling|2018, 2021
Echinacea purpurea varieties|Purple Coneflower|Perennial|3-8|Late June-August|Partial shade to full sun|Any soil, drought resistant|Early spring when leaves are about 4” high|Height: 12” (24-36” with flower), Spread: 12”, Clumping, Spreading by seed|Sweet|Butterflies||Small first year, full size second year|Long lived|Monarchs love these; spent flower stalks create winter interest; tolerates black walnut trees.|Echinacea purpurea 'Magnus Superior':Echinacea purpurea 'Green Twister'|2019
Echinacea purpurea 'Ruby Star'|Purple Coneflower|Perennial|3-8|Late June-August|Partial shade to full sun|Any soil, drought resistant|Early spring when leaves are about 4” high|Height: 12” (24-36” with flower), Spread: 12”, Clumping|Sweet|Butterflies and bees||Small first year, full size second year|Long lived|Will reseed first year.  Monarchs love these; spent flower stalks create winter interest||2018, 2020
Echinops ritro|Small Globe Thistle|Perennial|3-8|July-September|Full sun|Well draining, medium to dry soil, drought resistant second year|Early spring (April)|Height: 24” (36” with flower stalk), Spread: 12”-24”, Clumping, occasionally reseeds|None|Butterflies|Deer and rabbits|Small first year, spends first year setting roots|Long lived|Excellent cut flower, adds texture to the garden, small compact version||2018
Engelmannia peristenia|Engelman's Daisy|Perennial|4-10|May-August|Full sun|Dry, sandy, clay, loamy, and average soils are all acceptable.  Ensure the soils are well-drained.|Prefers to have seed collected and sowed in spring|Height: 24-36” with flower stalk, Spread: 12-18”, Bushy||Bees|Deer and rabbits|Flowers first year|Long lived|Native plant, good cut flower.  Feathery foliage provides interest outside of flowering.||2024
Epilobium angustifolium|Fireweed|Perennial|2-7|June-September|Full sun, partial shade|Well-draining; drought resistant|Do not divide|Height:  24-48” (Same with flower stalk) Spread:  12”-24” Clumping, occasionally reseeds, spreads by rhizome.|None|Honey bees, moths and hummingbirds||Flowers first year|Long lived|First to grow after a forest fire.  Native throughout the Northern Hemisphere.  Please note:  This plant is not related to Loosestrife.||2019, 2020
Erigeron speciosus 'Azurfee'|Engelman's Daisy|Perennial|3-9|June-August|Full sun|Average soils, that are dry to medium in moisture.  Ensure the soils are well-drained.||Height: 12-30” with flower stalk, Spread: 12-24”, Clumping||Butterflies|Deer and rabbits|Flowers second year|Long lived|Native plant, good cut flower.  It will rebloom through the summer and possibly into the fall.||
Eutrochium purpureum|Joe Pye Weed|Perennial|4-8|July-September|Full sun|Moist, well-drained soils, tolerates clay.|Divide in fall after the plant has gone dormant.  Divide using a sharp shovel between the stems and replant at the same depth as the original plant.|Height:  Influenced by soil fertility, water, and sunlight, generally between 24"-48", Spread:  None, perennial forms large, fibrous root system like celeriac.|Sweet|Butterflies, bees, and other beneficial insects due to high nectar production|Deer and rabbits|Blooms first year|Long lived.|Takes 2-3 days to recover after transplanting.  Keep well watered and shaded until it recovers.|Eupatorium purpureum:Eupatorium purpureum Seedling|2021, 2023, 2024
Filipendula rubra|Queen of the Prarie|Perennial|3-8|June-August|Full sun to part shade|Prefers fertile, humusy, moist soils that are medium to wet but well-drained.  For hotter, sunnier places, try to plant in a moist place with part shade.  Intolerant of drought, and foliage may scorch if in a place with hot sun and dry soils.|Divide clumps in spring or collect and direct sow seeds.|Height:  72-84", Spread:  36-48", Clumping|Fragrant, sweet|Bees|Deer and rabbits|Blooms second year|Long lived.|Native plant.  Deadheading does not extend bloom season, though cutting the foliage back in summer may promote new growth if it is depreciating from the quality.  Its leaves are also fragrant and of interest.||2024
Foeniculum vulgare 'Bronze'|Bronze Fennel|Short lived perennial herb (reseeds)|4-8|July (90 days from Spring seeding)|Full sun, partial sun|Well draining, drought resistant|Does not divide|Height: 12-24” first year, 36-60” next year|Licorice|Eastern Swallowtail Butterflies and beneficial insects|Deer and rabbits|Small first year, doubles in size second year|3-5 years|Dark purplish foliage Host plant for Eastern Swallowtail Butterfly. Edible||2018, 2023
Fragaria|Ozark Beauty Strawberry|Perennial|4-9|May-June (also August-September)|Full sun|Well-draining; drought resistant|Early spring (April)|Height:  8-10”  Spread:  12” Spread by runners, rarely reseeds||Bees||Flowers first year|Usually replaced or divided every two years to maintain vigor|Sweet strawberries that are good for jams, everbearing.  Mulch, but be careful not to bury the crown or it will rot.  Protect through winter with straw or 2-3” of mulch.||2019
Gaillardia grandiflora|Arizona Apricot|Perennial|3-9 (mulch in winter to prevent frost heave)|July-November (Summer until first frost)|Full Sun|Well Drained, low fertility, drought resistant|Collect seeds for next year store in cool, dark, dry place|Height: 10”, Spread: 12”, Clumping|None|Butterflies|Deer and rabbits|Flowers first year, may be leggy first year, but dense clump second year|2-3 years, but a few reseeds each year. Seeds easy to collect|Extensive bloom time 2-3 months||2018
Gaura lindheimeri 'The Bride'|Gaura|Perennial|5-8|July-September|Full sun|Well draining, drought resistant, does not like wet winter soil|Do not divide, long tap root|Height: 18” (24” with flower stalk), Spread: 12”-24”, Clumping|None|Butterflies, bees and hummingbirds||Flowers first year from seed|3-5 years; seeds can be collected, refrigerated until spring, soaked 24 hours, then direct sown or started in trays|High nectar-producing plant during summer heat||2018, 2019
Geum chiloense|Mrs. Bradshaw|Perennial|5-7|June|Full sun|Well draining, moist soil|Early spring (April)|Height:  12-24” (24” with flower stalk) Spread:  12” Clumping, occasionally reseeds.|None|Butterflies||Flowers second year|Long lived (short lived in heavy clay)|Wet poorly drained soils in winter can be fatal.||2019
Geum chiloense 'Blazing Sunset'||Perennial|5-7|June|Full sun|Well draining, moist soil|Early spring (April)|Height:  12-24” (24” with flower stalk) Spread:  12” Clumping, occasionally reseeds.|None|Butterflies||Flowers second year|Long lived (short lived in heavy clay)|Wet poorly drained soils in winter can be fatal.||
Geum triflorum|Prairie Smoke|Perennial|5-7|June|Full sun|Well draining, moist soil|Early spring (April)|Height:  6-10” (18” with flower stalk) Spread:  12” Clumping, occasionally reseeds.|None|Butterflies||Flowers second year|Long lived (short lived in heavy clay)|Native plant.  Wet poorly drained soils in winter can be fatal.||2024
Haworthia attenuata|Zebra Plant|Perennial tender succulent|7-9 (Bring inside for winter)|July-August|Full shade outdoors; eastern or western window, does not like direct sunlight|Well draining, low fertility, drought resistant|When rosette has at least six leaves, use a clean scissors to cut it from the main plant.  Do not water for 2 weeks after transplanting to keep the roots from rotting.|Height: 6-8”, Spread: 6”, Clumping, forming rosettes|Small sweet sappy/sticky white flowers||||Long lived|Only likes to be watered about once per month, likes to thoroughly dry out between waterings.  Grows roots during the winter, mostly dormant during the summer.  Best to transplant in September after blooming||2018, 2019
Heliopsis scabra|False Sunflower|Perennial|3-9|June-August|Full sun, partial shade|Well draining, drought resistant after first year|Spring (May)|Height: 24”-36”, Spread: 12”, Clumping|None|Butterflies|Deer and rabbits||Long Lived|May wilt in noonday sun, but recovers overnight. Excellent cut flowers and nectar producing||2018
Heuchera 'Melting Fire'|Melting Fire Coral Bells|Perennial|4-9|June-August|Full sun, partial shade|Well draining (prevents frost heaving), drought resistant|Early spring (April)|Height: 24” (36” with flower stalk), Spread: 12”-24”, Clumping; occasionally reseeds|None|Butterflies and Hummingbirds|Deer and rabbits|Second year, plants will show true leaf color|Long lived|Evergreen, has dark purple undulating leaves.||2023, 2024
Heuchera 'Newest Mixed Hybrids and Melting Fire'|Coral Bells, Melting Fire and Newest Mixed Hybrids|Perennial|4-9|June-August|Full sun, partial shade|Well draining (prevents frost heaving), drought resistant|Early spring (April)|Height: 24” (36” with flower stalk), Spread: 12”-24”, Clumping; occasionally reseeds|None|Butterflies and Hummingbirds|Deer and rabbits|Second year, plants will show true leaf color|Long lived|Evergreen||2018, 2024
Heuchera americana 'Dale's Strain'|Coral Bells|Perennial|4-9|June-August|Full sun, partial shade|Well draining (prevents frost heaving), drought resistant|Early spring (April)|Height: 24” (36” with flower stalk), Spread: 12”-24”, Clumping; occasionally reseeds|None|Butterflies and Hummingbirds|Deer and rabbits|Second year, plants will show true leaf color|Long lived|Evergreen||2020, 2023, 2024
Heuchera americana 'Emperor's Cloak'|Coral Bells|Perennial|4-9|June-August|Full sun, partial shade|Well draining (prevents frost heaving), drought resistant|Early spring (April)|Height: 24” (36” with flower stalk), Spread: 12”-24”, Clumping; occasionally reseeds|None|Butterflies and Hummingbirds|Deer and rabbits|Second year, plants will show true leaf color|Long lived|Evergreen||2020
